Name,Title,Top,Jungle,Middle,Bottom,Support,Primary,,Damage,Toughness,Control,Mobility,Utility,HP,HP+,HP5,HP5+,MP,MP+,MP5,MP5+,AD,AD+,AS,AS+,AR,AR+,MR,MR+,MS,Range,Difficulty,Damage Type,Gender,Appearance
Aatrox,the Darkin Blade,1,0,0,0,0,Fighter,Diver,2,2,2,2,0,580,85,6.59,0.5,100,0,0,0,68,3.2,0.651,0.03,33,3.8,32.1,1.25,345,150,2,Physical,Male,Fierce
Ahri,the Nine-Tailed Fox,0,0,1,0,0,Mage,Burst,3,1,2,3,0,526,92,6.508,0.6,334,50,6,0.8,53.04,3,0.668,0.02,20.88,3.5,30,0.5,330,550,2,Magic,Female,Cute
Akali,the Fist of Shadow,1,0,1,0,0,Slayer,Assassin,3,1,1,3,1,593,90,8.342,0.65,200,0,50,0,58.376,3.2,0.694,0.031,31.38,3.5,32.1,1.25,350,125,2,Physical,Female,Sexy
Alistar,the Minotaur,0,0,0,0,1,Tank,Vanguard,1,3,3,1,2,613.36,106,8.678,0.85,278.84,38,8.5,0.8,61.1116,3.62,0.625,0.02125,44,3.5,32.1,1.25,330,125,1,Magic,Male,Fierce
Amumu,the Sad Mummy,0,1,0,0,0,Tank,Vanguard,2,3,3,1,0,613.12,84,8.878,0.85,287.2,40,7.382,0.525,53.38,3.8,0.638,0.0218,33,3.8,32.1,1.25,335,125,1,Magic,Male,Cute
Anivia,the Cryophoenix,0,0,1,0,0,Mage,Battlemage,3,1,3,0,2,480,82,5.574,0.55,396.04,50,6,0.8,51.376,3.2,0.625,0.0168,21.22,4,30,0.5,325,600,3,Magic,Female,Handsome
Annie,the Dark Child,0,0,1,0,1,Mage,Burst,3,1,3,0,2,524,88,5.424,0.55,334,50,6,0.8,50.41,2.625,0.579,0.0136,19.22,4,30,0.5,335,575,1,Magic,Female,Cute
Ashe,the Frost Archer,0,0,0,1,0,Marksman,Marksman,2,0,3,0,2,527.72,79,5.424,0.55,280,32,6.972,0.4,65,2.26,0.658,0.0333,30,3.4,30,0.5,325,600,1,Physical,Female,Sexy
Aurelion Sol,the Star Forger,0,0,1,0,0,Mage,Battlemage,3,0,2,2,0,562,92,6.5,0.6,350,50,6,0.8,57,3.2,0.625,0.0136,19,3.6,30,0.5,325,550,3,Magic,Male,Handsome
Azir,the Emperor of the Sands,0,0,1,0,0,Specialist,Specialist,3,1,2,2,1,552,92,6.9,0.55,350.56,42,6,0.8,52,2.8,0.625,0.015,19.04,3,30,0.5,335,525,3,Magic,Male,Handsome
Bard,the Wandering Caretaker,0,0,0,0,1,Controller,Catcher,1,1,3,2,3,535,89,7.5,0.55,350,50,6,0.45,52,3,0.625,0.02,34,4,30,0.5,330,500,3,Magic,Male,Cute
Blitzcrank,the Great Steam Golem,0,0,0,0,1,Controller,Catcher,1,2,3,1,0,582.6,95,8.51,0.75,267.2,40,8.5,0.8,61.54,3.5,0.625,0.0113,44,4,32.1,1.25,325,125,1,Magic,Male,Cute
Brand,the Burning Vengeance,0,0,1,0,1,Mage,Burst,3,0,2,0,0,519.68,88,5.424,0.55,375.6,42,8.008,0.6,57.04,3,0.625,0.0136,21.88,3.5,30,0.5,340,550,2,Magic,Male,Wicked
Braum,the Heart of the Freljord,0,0,0,0,1,Tank,Warden,1,2,3,1,2,576.16,87,8.18,1,310.6,45,6,0.8,55.376,3.2,0.644,0.035,47,4.5,32.1,1.25,335,125,2,Magic,Male,Handsome
Caitlyn,the Sheriff of Piltover,0,0,0,1,0,Marksman,Marksman,3,0,2,2,0,475,85,5.65,0.55,313.7,35,7.4,0.55,62,2.18,0.568,0.04,32,3.5,30,0.5,325,650,1,Physical,Female,Sexy
Camille,the Steel Shadow,1,0,0,0,0,Fighter,Diver,3,2,2,3,0,575.6,85,8.5,0.8,338.8,32,8.15,0.75,68,3.5,0.644,0.025,35,3.8,32.1,1.25,340,125,3,Physical,Female,Handsome
Cassiopeia,the Serpent's Embrace,0,0,1,0,0,Mage,Battlemage,3,1,3,1,0,537,87,5.5,0.5,334,63,6,0.8,53,3,0.647,0.015,25,3.5,30,0.5,328,550,3,Magic,Female,Sexy
Cho'Gath,the Terror of the Void,1,1,0,0,0,Specialist,Specialist,2,3,2,0,0,574.4,80,8.928,0.85,272.2,40,7.206,0.45,69,4.2,0.625,0.0144,38,3.5,32.1,1.25,345,125,1,Magic,Male,Wicked
Corki,the Daring Bombardier,0,0,1,0,0,Marksman,Marksman,3,0,1,2,0,518,87,5.424,0.55,350.16,34,7.424,0.55,63,3.5,0.638,0.023,28,3.5,30,0.5,325,550,2,Physical,Male,Cute
Darius,the Hand of Noxus,1,0,0,0,0,Fighter,Juggernaut,3,2,2,0,0,582.24,100,9.846,0.95,263,37.5,6.6,0.35,64,5,0.625,0.01,39,4,32.1,1.25,340,175,2,Physical,Male,Handsome
Diana,Scorn of the Moon,0,1,1,0,0,Fighter,Diver,3,2,2,2,0,594,95,7.428,0.85,297.2,40,6,0.8,53.04,3,0.625,0.0225,31,3.6,32.1,1.25,345,150,1,Magic,Female,Handsome
Dr. Mundo,the Madman of Zaun,1,1,0,0,0,Fighter,Juggernaut,2,3,1,0,0,582.52,89,7.76,0.75,0,0,0,0,61.27,3.5,0.625,0.028,36,3.5,32.1,1.25,345,125,1,Physical,Male,Wicked
Draven,the Glorious Executioner,0,0,0,1,0,Marksman,Marksman,3,0,1,2,0,557.76,82,6.176,0.7,360.56,39,8.042,0.65,64,2.91,0.679,0.027,35,3.3,30,0.5,330,550,3,Physical,Male,Fierce
Ekko,the Boy Who Shattered Time,0,1,1,0,0,Slayer,Assassin,3,2,2,3,0,585,85,9,0.9,280,50,7,0.8,55,3,0.625,0.033,32,3,32,1.25,340,125,3,Magic,Male,Fierce
Elise,the Spider Queen,0,1,0,0,0,Fighter,Diver,2,2,2,2,0,534,85,5.708,0.6,324,50,6,0.8,55,3,0.625,0.0175,27,3.35,30,0.5,325,550,3,Magic,Female,Sexy
Evelynn,Agony's Embrace,0,1,0,0,0,Slayer,Assassin,2,2,1,2,2,572,84,8.5,0.75,315.6,42,8.108,0.6,61,3,0.667,0.021,37,3.5,32.1,1.25,335,125,2,Magic,Female,Sexy
Ezreal,the Prodigal Explorer,0,1,1,1,0,Marksman,Marksman,3,0,0,3,1,484.4,80,6.424,0.55,360.6,42,8.092,0.65,64,2.41,0.625,0.028,31,3.5,30,0.5,325,550,1,Physical,Male,Cute
Fiddlesticks,the Harbinger of Doom,0,1,0,0,1,Specialist,Specialist,3,1,3,1,0,524.4,80,5.608,0.6,400.12,56,6,0.8,48.36,2.625,0.625,0.0211,30,3.5,30,0.5,335,480,2,Magic,Male,Wicked
Fiora,the Grand Duelist,1,0,0,0,0,Slayer,Skirmisher,3,2,2,2,2,550,85,8.25,0.55,300,40,8,0.7,68,3.3,0.69,0.032,33,3.5,32.1,1.25,345,150,3,Physical,Female,Handsome
Fizz,the Tidal Trickster,0,0,1,0,0,Slayer,Assassin,3,1,2,3,0,570,98,8.176,0.7,317.2,37,6,0.8,58.04,3,0.658,0.031,22.412,3.4,32.1,1.25,335,175,3,Magic,Male,Cute
Galio,the Colossus,1,1,1,0,1,Tank,Warden,2,3,3,2,1,562,112,8,0.8,400,40,7,0.7,59,3.5,0.625,0.015,24,3.5,32,1.25,335,150,2,Magic,Male,Handsome
Gangplank,the Saltwater Scourge,1,0,1,0,0,Specialist,Specialist,3,1,1,1,2,540,82,6,0.6,282,40,7.5,0.7,64,3,0.658,0.032,35,3,32.1,1.25,345,125,3,Physical,Male,Fierce
Garen,the Might of Demacia,1,0,0,0,0,Fighter,Juggernaut,2,3,1,1,0,616.28,84.25,7.84,0.5,0,0,0,0,66,4.5,0.625,0.029,36,3,32.1,1.25,340,175,1,Physical,Male,Handsome
Gnar,the Missing Link,1,0,0,0,0,Specialist,Specialist,2,1,1,2,0,510,65,4.5,1.75,100,0,0,0,59,3,0.625,0.06,32,2.5,30,0.5,335,400,3,Physical,Male,Cute
Gragas,the Rabble Rouser,0,1,0,0,0,Tank,Vanguard,2,3,3,2,0,583.52,89,5.5,0.5,400,47,6,0.8,61.38,3.5,0.625,0.0205,35,3.6,32.1,1.25,330,125,2,Magic,Male,Fierce
Graves,the Outlaw,0,1,0,0,0,Specialist,Specialist,3,2,1,2,2,551.12,84,8,0.7,322.2,40,7.9,0.7,69,2.41,0.481,0.026,33,3.4,30,0.5,340,425,2,Physical,Male,Handsome
Hecarim,the Shadow of War,0,1,0,0,0,Fighter,Diver,2,2,2,2,0,580,90,7,0.75,277.2,40,6.5,0.6,66,3.2,0.67,0.025,36,4,32.1,1.25,345,175,2,Physical,Male,Wicked
Heimerdinger,the Revered Inventor,1,0,1,0,0,Specialist,Specialist,3,0,2,0,2,488,87,7,0.55,307.2,40,6,0.8,55.536,2.7,0.625,0.0136,19.04,3,30,0.5,340,550,2,Magic,Male,Cute
Illaoi,the Kraken Priestess,1,0,0,0,0,Fighter,Juggernaut,3,2,1,0,0,585.6,95,9.5,0.8,300,40,7.5,0.75,68,5,0.571,0.025,35,3.8,32.1,1.25,340,125,2,Physical,Female,Fierce
Irelia,the Will of the Blades,1,0,0,0,0,Fighter,Diver,3,2,2,2,0,607.2,90,8.592,0.65,338.8,32,8.1,0.65,70,3.3,0.665,0.032,34,3.75,32.1,1.25,345,125,2,Physical,Female,Sexy
Ivern,the Green Father,0,1,0,0,0,Controller,Catcher,1,1,3,2,3,585,95,6.9,0.85,450,60,6,0.75,50,3,0.644,0.034,27,3.5,32.1,1.25,325,125,3,Magic,Male,Cute
Janna,the Storm's Fury,0,0,0,0,1,Controller,Enchanter,1,1,3,1,3,500,70,5.424,0.55,350,64,11.5,0.4,46,1.5,0.625,0.0295,28,3.8,30,0.5,320,550,1,Magic,Female,Sexy
Jarvan IV,the Exemplar of Demacia,1,1,0,0,0,Fighter,Diver,2,2,2,2,2,571.2,90,8.176,0.7,302.2,40,6.756,0.45,64,3.4,0.658,0.025,38,3.6,32.1,1.25,340,175,1,Physical,Male,Handsome
Jax,Grandmaster at Arms,1,1,0,0,0,Slayer,Skirmisher,3,2,2,2,0,592.8,85,8.374,0.55,338.8,32,7.576,0.7,69.97,3.375,0.638,0.034,36,3,32.1,1.25,350,125,2,Physical,Male,Fierce
Jayce,the Defender of Tomorrow,1,0,1,0,0,Mage,Artillery,3,0,1,2,2,576,95,7.344,0.8,357.2,37,6,0.8,58,3.5,0.658,0.03,27,3.5,30,0.5,335,125,2,Physical,Male,Handsome
Jhin,the Virtuoso,0,0,0,1,0,Marksman,Marksman,3,0,2,0,0,540,85,6,0.55,300,50,6,0.8,61,4,0.625,0.0283,29,3.5,30,0.5,330,550,2,Physical,Male,Fierce
Jinx,the Loose Cannon,0,0,0,1,0,Marksman,Marksman,3,0,2,1,0,517.76,82,5.84,0.5,245.6,45,6.68,1,66,2.41,0.625,0.01,32,3.5,30,0.5,325,525,2,Physical,Female,Cute
Kalista,the Spear of Vengeance,0,0,0,1,0,Marksman,Marksman,3,0,1,3,2,517.76,83,6,0.55,231.8,35,6.3,0.4,71,2.9,0.644,0.025,28,3.5,30,0.5,325,550,3,Physical,Female,Wicked
Karma,the Enlightened One,0,0,0,0,1,Controller,Enchanter,2,1,2,1,2,534,95,5.624,0.55,374,50,8.5,0.8,53.544,3.3,0.625,0.023,20.384,3.8,30,0.5,335,525,1,Magic,Female,Sexy
Karthus,the Deathsinger,0,0,1,0,0,Mage,Battlemage,3,0,1,0,2,528,87,6.424,0.55,372.48,61,6,0.8,45.66,3.25,0.625,0.0211,20.88,3.5,30,0.5,335,450,2,Magic,Male,Wicked
Kassadin,the Void Walker,0,0,1,0,0,Slayer,Assassin,3,2,1,3,0,576,90,7.79,0.5,397.6,67,6,0.8,58.852,3.9,0.64,0.037,23.376,3.2,30,0.5,340,150,2,Magic,Male,Wicked
Katarina,the Sinister Blade,0,0,1,0,0,Slayer,Assassin,3,0,0,3,0,602,94,7.5,0.7,0,0,0,0,58,3.2,0.658,0.0274,27.88,3.5,32.1,1.25,340,125,1,Magic,Female,Sexy
Kayle,the Judicator,1,0,0,0,0,Specialist,Specialist,3,1,1,1,3,586,105,8.26,0.75,322.2,40,6,0.8,51,2.8,0.638,0.022,26.88,3.5,30,0.5,335,125,2,Physical,Female,Handsome
Kayn,the Shadow Reaper,0,1,0,0,0,Slayer,Skirmisher,2,1,1,2,2,585,85,8,0.75,410,50,11.5,0.95,68,2.8,0.669,0.027,38,3.3,32.1,1.25,340,175,3,Physical,Male,Handsome
Kennen,the Heart of the Tempest,1,0,0,0,0,Specialist,Specialist,3,1,3,1,0,541,84,5.592,0.65,200,0,50,0,50.544,3.3,0.69,0.034,29,3.75,30,0.5,335,550,2,Magic,Male,Cute
Kha'Zix,the Voidreaver,0,1,0,0,0,Slayer,Assassin,3,1,1,2,0,572.8,85,7.51,0.75,327.2,40,7.59,0.5,63,3.1,0.668,0.027,36,3,32.1,1.25,350,125,2,Physical,Male,Wicked
Kindred,the Eternal Hunters,0,1,0,0,0,Marksman,Marksman,3,1,2,3,2,540,85,7,0.55,300,35,6.972,0.4,65,2.26,0.625,0.025,29,3.5,30,0.5,325,500,3,Physical,Female,Handsome
Kled,the Cantankerous Cavalier,1,0,0,0,0,Fighter,Diver,3,2,1,3,1,340,70,6,0.75,100,0,0,0,63,3,0.625,0.035,35,4,32.1,1.25,345,125,2,Physical,Male,Cute
Kog'Maw,the Mouth of the Abyss,0,0,1,1,0,Marksman,Marksman,3,0,1,0,1,517.76,82,5.924,0.55,322.2,40,8.676,0.7,65,2.41,0.665,0.0265,29,3.5,30,0.5,325,500,2,Physical,Male,Cute
LeBlanc,the Deceiver,0,0,1,0,0,Mage,Burst,3,0,2,3,0,528,92,7.4,0.55,334,50,6,0.8,54.88,3.5,0.625,0.014,21.88,3.5,30,0.5,340,525,3,Magic,Female,Sexy
Lee Sin,the Blind Monk,0,1,0,0,0,Fighter,Diver,3,2,2,3,1,570.8,85,7.426,0.7,200,0,50,0,69.18,3.2,0.651,0.03,33,3.7,32.1,1.25,345,125,3,Physical,Male,Handsome
Leona,the Radiant Dawn,0,0,0,0,1,Tank,Vanguard,1,3,3,1,1,576.16,87,8.428,0.85,302.2,40,6,0.8,60.04,3,0.625,0.029,47,3.6,32.1,1.25,335,125,1,Magic,Female,Handsome
Lissandra,the Ice Witch,0,0,1,0,0,Mage,Burst,3,1,3,2,0,518,87,6.924,0.55,304,60,5.672,0.4,53,2.7,0.625,0.0136,20.216,3.7,30,0.5,325,550,2,Magic,Female,Fierce
Lucian,the Purifier,0,0,1,1,0,Marksman,Marksman,3,0,0,3,0,554.4,80,6.192,0.65,348.88,38,8.176,0.7,65,2.41,0.638,0.033,33,3,30,0.5,335,500,2,Physical,Male,Handsome
Lulu,the Fae Sorceress,0,0,0,0,1,Controller,Enchanter,2,1,2,1,3,525,74,6.008,0.6,350,55,11,0.6,46.368,2.6,0.625,0.0225,28.22,3.7,30,0.5,330,550,2,Magic,Female,Cute
Lux,the Lady of Luminosity,0,0,1,0,1,Mage,Burst,3,1,2,0,2,490,91,5.4,0.55,384,47,6,0.8,53.54,3.3,0.625,0.0136,18.72,4,30,0.5,330,550,1,Magic,Female,Cute
Malphite,Shard of the Monolith,1,0,0,0,0,Tank,Vanguard,1,3,3,1,0,574.2,90,7,0.55,282.2,40,7.324,0.55,61.97,3.375,0.638,0.034,37,3.75,32.1,1.25,335,125,1,Magic,Male,Fierce
Malzahar,the Prophet of the Void,0,0,1,0,0,Mage,Battlemage,3,1,3,0,2,537,87,6,0.6,300,55,6,0.8,55,3,0.625,0.015,18,3.5,30,0.5,335,500,1,Magic,Male,Wicked
Maokai,the Twisted Treant,1,1,0,0,0,Tank,Vanguard,1,3,3,1,2,565,95,5,0.75,377.28,43,7.2,0.6,63.54,3.3,0.694,0.02125,39,4,32.1,1.25,335,125,1,Magic,Male,Wicked
Master Yi,the Wuju Bladesman,0,1,0,0,0,Slayer,Skirmisher,3,1,0,2,0,598.56,92,7.592,0.65,250.56,42,7.256,0.45,68,3,0.679,0.02,33,3,32.1,1.25,355,125,1,Physical,Male,Handsome
Miss Fortune,the Bounty Hunter,0,0,0,1,0,Marksman,Marksman,3,0,1,1,0,530,85,6.192,0.65,325.84,35,8.042,0.65,54,1,0.656,0.03,33,3,30,0.5,325,550,1,Physical,Female,Sexy
Mordekaiser,the Iron Revenant,1,0,0,0,0,Fighter,Juggernaut,3,2,0,0,2,530,78,4,0.3,0,0,120,0,61,5,0.601,0.022,25,3.75,32.1,1.25,325,175,2,Magic,Male,Fierce
Morgana,Fallen Angel,0,0,1,0,1,Controller,Catcher,2,1,3,0,2,559.48,90,5.708,0.6,340.8,60,11.5,0.4,55.46,3.5,0.625,0.0153,25.384,3.8,30,0.5,335,450,1,Magic,Female,Sexy
Nami,the Tidecaller,0,0,0,0,1,Controller,Enchanter,1,1,3,1,2,489.32,74,5.424,0.55,377.24,43,11.5,0.4,51.208,3.1,0.644,0.0261,29,4,30,0.5,335,550,2,Magic,Female,Cute
Nasus,the Curator of the Sands,1,0,0,0,0,Fighter,Juggernaut,2,3,2,0,1,561.2,90,9.012,0.9,325.6,42,7.44,0.5,67,3.5,0.638,0.0348,34,3.5,32.1,1.25,350,125,1,Physical,Male,Fierce
Nautilus,the Titan of the Depths,0,1,0,0,1,Tank,Vanguard,1,3,3,1,0,576.48,86,8.374,0.55,334,47,8.626,0.5,57.54,3.3,0.613,0.01,35.46,3.75,32.1,1.25,325,175,2,Magic,Male,Fierce
